Fabricante	Nave	Imagem	Link
RSI 	 Aurora ES 	 https://media.robertsspaceindustries.com/ucp60er1lm6p0/store_small.jpg 	 https://robertsspaceindustries.com/pledge/ships/rsi-aurora/Aurora-ES?_gl=1*ye0az0*_up*MQ..*_ga*ODQ1ODU5OTQuMTczNzM5MTA4NA..*_ga_V6MWYXRQNP*MTczNzM5MTA4NC4xLjAuMTczNzM5MTA4NC42MC4wLjA.
RSI 	 Aurora LX 	 https://media.robertsspaceindustries.com/28jsrvn7jb54w/store_small.jpg 	 https://robertsspaceindustries.com/pledge/ships/rsi-aurora/Aurora-LX
RSI 	 Aurora MR 	 https://media.robertsspaceindustries.com/4s60teylde8fl/store_small.jpg 	 https://robertsspaceindustries.com/pledge/ships/rsi-aurora/Aurora-MR
RSI 	 Aurora CL 	 https://media.robertsspaceindustries.com/w9pcyoav93o22/store_small.jpg 	 https://robertsspaceindustries.com/pledge/ships/rsi-aurora/Aurora-CL
RSI 	 Aurora LN 	 https://media.robertsspaceindustries.com/zziqh7xqritjm/store_small.jpg 	 https://robertsspaceindustries.com/pledge/ships/rsi-aurora/Aurora-LN
ORIG 	 300i 	 https://media.robertsspaceindustries.com/v8hdypfs0zrod/store_small.jpg 	 https://robertsspaceindustries.com/pledge/ships/origin-300/300i
ORIG 	 315p 	 https://media.robertsspaceindustries.com/la559pu4e3lvz/store_small.jpg 	 https://robertsspaceindustries.com/pledge/ships/origin-300/315p
ORIG 	 325a 	 https://media.robertsspaceindustries.com/7exrdatxh6z7n/store_small.jpg 	 https://robertsspaceindustries.com/pledge/ships/origin-300/325a
ORIG 	 350r 	 https://media.robertsspaceindustries.com/5r333q5k9oyce/store_small.jpg 	 https://robertsspaceindustries.com/pledge/ships/origin-300/350r
ANVL 	 F7C Hornet Mk I 	 https://media.robertsspaceindustries.com/tcpakf2m1h1hx/store_small.jpg 	 https://robertsspaceindustries.com/pledge/ships/anvil-hornet/F7C-Hornet-Mk-I
ANVL 	 F7C Hornet Wildfire Mk I 	 https://media.robertsspaceindustries.com/0uqzw1kqnfvxy/store_small.jpg 	 https://robertsspaceindustries.com/pledge/ships/anvil-hornet/F7C-Hornet-Wildfire-Mk-I
ANVL 	 F7A Hornet Mk I 	 https://robertsspaceindustries.com/media/xbj9vlcjp8xl3r/store_small/NewHornet_screen28.jpg 	 https://robertsspaceindustries.com/pledge/ships/anvil-hornet/F7A-Hornet-Mk-I
ANVL 	 F7C-S Hornet Ghost Mk I 	 https://media.robertsspaceindustries.com/nbwncbo1436rs/store_small.jpg 	 https://robertsspaceindustries.com/pledge/ships/anvil-hornet/F7C-S-Hornet-Ghost-Mk-I
ANVL 	 F7C-R Hornet Tracker Mk I 	 https://media.robertsspaceindustries.com/biy2mmvcz6eb2/store_small.jpg 	 https://robertsspaceindustries.com/pledge/ships/anvil-hornet/F7C-R-Hornet-Tracker-Mk-I
ANVL 	 F7C-M Super Hornet Mk I 	 https://media.robertsspaceindustries.com/pjudaw3yj3odo/store_small.jpg 	 https://robertsspaceindustries.com/pledge/ships/anvil-hornet/F7C-M-Super-Hornet-Mk-I
ANVL 	 F7C-M Super Hornet Heartseeker Mk I 	 https://media.robertsspaceindustries.com/6ewzke6o3llh6/store_small.jpg 	 https://robertsspaceindustries.com/pledge/ships/anvil-hornet/F7C-M-Super-Hornet-Heartseeker-Mk-I
RSI 	 Constellation Aquila 	 https://media.robertsspaceindustries.com/c2k21tjgn3z6a/store_small.jpg 	 https://robertsspaceindustries.com/pledge/ships/rsi-constellation/Constellation-Aquila
RSI 	 Constellation Andromeda 	 https://media.robertsspaceindustries.com/b5wlk3qo9v3iq/store_small.jpg 	 https://robertsspaceindustries.com/pledge/ships/rsi-constellation/Constellation-Andromeda
RSI 	 Constellation Taurus 	 https://media.robertsspaceindustries.com/uha4almaj3gyf/store_small.jpg 	 https://robertsspaceindustries.com/pledge/ships/rsi-constellation/Constellation-Taurus
RSI 	 Constellation Phoenix 	 https://media.robertsspaceindustries.com/jkyny550a90um/store_small.jpg 	 https://robertsspaceindustries.com/pledge/ships/rsi-constellation/Constellation-Phoenix
RSI 	 Constellation Phoenix Emerald 	 https://media.robertsspaceindustries.com/c6k45uuhq41ow/store_small.jpg 	 https://robertsspaceindustries.com/pledge/ships/rsi-constellation/Constellation-Phoenix-Emerald
MISC 	 Freelancer 	 https://media.robertsspaceindustries.com/z3mllk6zi0x7r/store_small.jpg 	 https://robertsspaceindustries.com/pledge/ships/misc-freelancer/Freelancer
MISC 	 Freelancer DUR 	 https://media.robertsspaceindustries.com/d5tl8fqymjuf7/store_small.png 	 https://robertsspaceindustries.com/pledge/ships/misc-freelancer/Freelancer-DUR
MISC 	 Freelancer MAX 	 https://media.robertsspaceindustries.com/l46ptmxtybjws/store_small.jpg 	 https://robertsspaceindustries.com/pledge/ships/misc-freelancer/Freelancer-MAX
MISC 	 Freelancer MIS 	 https://media.robertsspaceindustries.com/ybkygputhkx0g/store_small.jpg 	 https://robertsspaceindustries.com/pledge/ships/misc-freelancer/Freelancer-MIS
DRAK 	 Cutlass Black 	 https://media.robertsspaceindustries.com/ni2w8d06b405a/store_small.jpg 	 https://robertsspaceindustries.com/pledge/ships/drake-cutlass/Cutlass-Black
DRAK 	 Cutlass Red 	 https://media.robertsspaceindustries.com/wqa6lfco4amc0/store_small.jpg 	 https://robertsspaceindustries.com/pledge/ships/drake-cutlass/Cutlass-Red
DRAK 	 Cutlass Blue 	 https://media.robertsspaceindustries.com/2hllaegtpmzyy/store_small.jpg 	 https://robertsspaceindustries.com/pledge/ships/drake-cutlass/Cutlass-Blue
DRAK 	 Cutlass Black Best In Show Edition 2949 	 https://media.robertsspaceindustries.com/vt0f0g30nua1v/store_small.jpg 	 https://robertsspaceindustries.com/pledge/ships/drake-cutlass/Cutlass-Black-Best-In-Show-Edition-2949
DRAK 	 Cutlass Steel 	 https://media.robertsspaceindustries.com/mhuiu912ca4d1/store_small.jpg 	 https://robertsspaceindustries.com/pledge/ships/drake-cutlass/Cutlass-Steel
AEGS 	 Avenger Stalker 	 https://media.robertsspaceindustries.com/9tfhza1twrczn/store_small.jpg 	 https://robertsspaceindustries.com/pledge/ships/aegis-avenger/Avenger-Stalker
AEGS 	 Avenger Titan Renegade 	 https://media.robertsspaceindustries.com/oc8p2v3n7c0e0/store_small.jpg 	 https://robertsspaceindustries.com/pledge/ships/aegis-avenger/Avenger-Titan-Renegade
AEGS 	 Avenger Warlock 	 https://media.robertsspaceindustries.com/l8znbwwoh2o8u/store_small.jpg 	 https://robertsspaceindustries.com/pledge/ships/aegis-avenger/Avenger-Warlock
AEGS 	 Avenger Titan 	 https://media.robertsspaceindustries.com/fmhdkmvhi8ify/store_small.jpg 	 https://robertsspaceindustries.com/pledge/ships/aegis-avenger/Avenger-Titan
ANVL 	 Gladiator 	 https://media.robertsspaceindustries.com/sonytrzapzugz/store_small.jpeg 	 https://robertsspaceindustries.com/pledge/ships/anvil-gladiator/Gladiator
ORIG 	 M50 	 https://media.robertsspaceindustries.com/l7p21pakfkth2/store_small.png 	 https://robertsspaceindustries.com/pledge/ships/origin-m50/M50
